STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.040271706879139,A,Annual,Afghanistan,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.048788543790579,A,Annual,Angola,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.14539788663387,A,Annual,Albania,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARE,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.17097102105618,A,Annual,United Arab Emirates,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.13846957683563,A,Annual,Argentina,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.13453422486782,A,Annual,Armenia,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUS,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.21177437901497,A,Annual,Australia,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUT,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.19794841110706,A,Annual,Austria,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.11288482695818,A,Annual,Azerbaijan,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BDI,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.070419035851955,A,Annual,Burundi,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEL,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.16134479641914,A,Annual,Belgium,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEN,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.098012492060661,A,Annual,Benin,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BFA,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.095249272882938,A,Annual,Burkina Faso,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGD,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.10032479465008,A,Annual,Bangladesh,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
