STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,_T,Total,2025,0.8857118487,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_1,Additional Breakdowns : Exporter Type - Direct exports are 10% or more of sales,2025,1.587651968,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_2,Additional Breakdowns : Exporter Type - Non-exporter,2025,0.8356239796,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_3,Additional Breakdowns : Gender of Top Manager - Top manager is female,2025,0.6895077229,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_4,Additional Breakdowns : Gender of Top Manager - Top manager is male,2025,0.8987289071,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_5,Additional Breakdowns : Ownership Type - 10% or more foreign ownership,2025,1.094704032,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,_T,Total,WB_ES_OTHER_6,Additional Breakdowns : Ownership Type - Domestic,2025,0.8838398457,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,WB_ES_MAJOR_SECTOR_1,Major Sector: Manufacturing,_T,Total,_T,Total,2025,0.6068002582,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,WB_ES_MAJOR_SECTOR_2,Major Sector: Services,_T,Total,_T,Total,2025,1.015153527,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_ES_T_BREADY_FIN29,Days to receive the main type of electronic payment,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,D,Days,_T,Total,WB_ES_SIZE_1,Size: Large (100+),_T,Total,2025,0.9860749245,_Z,Not Applicable,WB_ES,Enterprise Surveys,0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
